2019-10-14 17:59:09,b'@GQMagazine @Pharrell This is not masculinity. It\xe2\x80\x99s the opposite. \nAnd it\xe2\x80\x99s not attractive. At all. \n\nSee #Gillette'
2019-10-14 16:31:01,b'RT @global: When razor-sharp audience targeting and @Gillette collide. Say hello to our #OOH campaign at #London\xe2\x80\x99s Bank Underground Station\xe2\x80\xa6'
2019-10-14 16:29:58,b'When razor-sharp audience targeting and @Gillette collide. Say hello to our #OOH campaign at #London\xe2\x80\x99s Bank Undergr\xe2\x80\xa6 https://t.co/CGjL9xIyyI'
2019-10-14 16:13:13,b'@ShefVaidya @SwarajyaMag Any idea how much business those four brands lost after some #woke marketing manager in th\xe2\x80\xa6 https://t.co/oZhSMprTug'
2019-10-14 13:32:35,b'RT @BlkGrlMasculine: A man\xe2\x80\x99s first shave is special. #Gillette supports a man of trans experience in new ad. Beautiful. #Trans #Tqpoc #Qtpo\xe2\x80\xa6'
2019-10-14 12:14:14,b'RT @keshavkumar34: 14/10/2019\n@ZeeBusiness penalist #pickoftheday \n@iamrakeshbansal sir @Airtel_Presence  BUY 1 CALL 380/- SELL 2 CALL 400/\xe2\x80\xa6'
2019-10-14 03:14:20,b'14/10/2019\n@ZeeBusiness penalist #pickoftheday \n@iamrakeshbansal sir @Airtel_Presence  BUY 1 CALL 380/- SELL 2 CALL\xe2\x80\xa6 https://t.co/3vmH0hiVmJ'
2019-10-13 22:10:03,b'Guenda Lombardo likes Steve McQueen #Gillette #Swatch #Nikon #Tissot #Longines #P https://t.co/7wj6GHyst0 https://t.co/Gxp4lZsHVY'
2019-10-13 18:01:21,"b'If jobs with titles like ""Retail Sales Consultant"" sound appealing to you, follow us to hear about these types of o\xe2\x80\xa6 https://t.co/IZsl3S9w8P'"
2019-10-13 17:10:47,b'For anyone interested in sports sponsorship: Leaders: Gillette - The Best a Brand Can Be? https://t.co/WN3ml4FCps v\xe2\x80\xa6 https://t.co/xY8OfqqNFr'
2019-10-13 16:30:28,b'#regret not buying usual #gillette #shavegel and trying #schick #hydro instead. #defective #schickfail #NeverAgain https://t.co/GCH4wKnMGb'
2019-10-13 16:22:26,"b'Don\'t submit then quit. Apply for jobs like ""Sales Management Trainee"" at Enterprise Holdings, then look for people\xe2\x80\xa6 https://t.co/B7H7zsttro'"
2019-10-13 16:00:52,b'RT @4truth2017: Not a rational reason for #NoBraDay Gillette might bash the men for their bad habits but at least they dont let it all hang\xe2\x80\xa6'
2019-10-13 15:57:37,b'Not a rational reason for #NoBraDay Gillette might bash the men for their bad habits but at least they dont let it\xe2\x80\xa6 https://t.co/2zlqjWZqNu'
2019-10-13 15:23:58,"b'Interested in a job in #Gillette, WY? This could be a great fit. Click the link in our bio to apply: Operator-Well\xe2\x80\xa6 https://t.co/K6RIuryFTK'"
2019-10-13 11:34:12,b'Just broke the sound barrier and I was just shaving. #toofast #mache3 #gillette #Rockkosmamadas'
2019-10-13 08:31:00,b'@upfieldglobal @mimmymum @newsalfox @Flora @StopFundingHate @TransActualUK @WhatTheTrans @transadvocate\xe2\x80\xa6 https://t.co/malnccFnGD'
2019-10-13 04:21:32,"b'RT @TheZWorld: Gillette, Shields While You Shave \n\n#OutdoorAdvertising #Billboard #AmbientMarketing #AmbientAdvertising #Advertising #Marke\xe2\x80\xa6'"
2019-10-13 04:10:04,"b'Gillette, Shields While You Shave \n\n#OutdoorAdvertising #Billboard #AmbientMarketing #AmbientAdvertising\xe2\x80\xa6 https://t.co/hkLVtwe8xb'"
2019-10-12 22:16:22,"b""Want to work at TJX Companies, Inc.? We're hiring in #Gillette, WY! Click for details: https://t.co/PgDeyvVIQq #Retail"""
2019-10-12 21:44:57,"b""Grrl, your vagina ain't too big - his dick is TOO SMALL. \xf0\x9f\x98\x92 #Gillette\n#DontWantNoShortDickMan\xe2\x80\xa6 https://t.co/nEjL8nc3HS"""
2019-10-12 18:58:10,"b'Because family is not always two-legged, our drivers are allowed to have two dogs or cats on the truck. Learn more\xe2\x80\xa6 https://t.co/K8WIiEmrEX'"
2019-10-12 17:00:13,"b""Perspective...\n\nI can't compete with a 12-foot tall, 4-foot wide Bridgestone tire that was once used on unit rig tr\xe2\x80\xa6 https://t.co/mdsFmEyCpt"""
2019-10-12 14:36:10,b'This Operations Mgmt. / Field Services job might be a great fit for you. Click the link in our bio to see it and mo\xe2\x80\xa6 https://t.co/SLTQcXP8io'
2019-10-12 14:00:56,"b'Stop staring at the clock every day. It\'s time for a new career. Follow us to view jobs with titles like ""Regional\xe2\x80\xa6 https://t.co/kOMaPabjDW'"
2019-10-12 13:34:50,b'RT @JoleneBoger: I wanna make gift baskets for the #feminist They will include #cookbooks #razors (Preferably #gillette since there is a lo\xe2\x80\xa6'
2019-10-12 13:13:29,"b""Check out Gillette - Fusion Pro Shield - Men's Razor Blade Refill - 4 Count #Gillette https://t.co/zBGdjKAJPw via @eBay"""
2019-10-12 11:54:08,b'RT @OnyiLoveTommy: #Gillette Challenge#... Gotta Shave off Clean soon\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\n\xe2\x80\x9cAll I need is Aireyys Beard oil to come back strong\xe2\x80\x9d #Aireyys #Cl\xe2\x80\xa6'
2019-10-12 06:17:11,b'This Grandparents day enjoy special #discount offer by @jagshaving \xf0\x9f\x98\x8d\nEnjoy up to 10% off on this amazing #Gillette\xe2\x80\xa6 https://t.co/xCySs0HRpl'
2019-10-12 06:09:17,b'Who are the real men? What does it mean to be a real man? Are you a real man? #masculinity #Gillette\xe2\x80\xa6 https://t.co/OztZ4BDbKw'
2019-10-12 02:41:05,"b""Still haven't bought another #gillette product."""
2019-10-12 00:11:07,b'Patriots edelman11 upended as he goes for more yardage #nfl #patriots #giants #football #gillette #upended @ Gillet\xe2\x80\xa6 https://t.co/pcKsvSPiCN'
2019-10-12 00:07:24,b'Patriots edelman11 upended as he goes for more yardage #patriots #giants #football #gillette #foxboro #upended #nfl\xe2\x80\xa6 https://t.co/k353BnQgww'
